City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,sarh,9.1429,18.3923,25.5,69,17,0.55,TD,1729727829
256,zacatlan,19.9333,-97.9667,10.8,92,67,1.81,MX,1729727830
257,plouzane,48.3833,-4.6167,12.03,87,0,5.14,FR,1729727831
258,languyan,5.2618,120.0807,29.31,75,97,4.77,PH,1729727832
259,lindi,-10.0,39.7167,24.49,79,34,1.93,TZ,1729727834
260,menongue,-14.6585,17.691,23.12,45,96,1.98,AO,1729727836
261,hermanus,-34.4187,19.2345,18.22,64,61,0.95,ZA,1729727837
262,bucak,37.4592,30.595,7.65,50,1,2.78,TR,1729727838
263,inarajan village,13.2736,144.7484,28.55,91,93,7.75,GU,1729727839
264,la ronge,55.1001,-105.2842,6.14,56,20,4.63,CA,1729727840
265,haiku-pauwela,20.9219,-156.3051,27.34,78,100,9.39,US,1729727841
266,kristiansund,63.1115,7.732,13.36,82,100,7.72,NO,1729727842
267,balaipungut,1.05,101.2833,25.09,93,100,1.28,ID,1729727843
268,kavaratti,10.5669,72.642,27.45,77,99,1.55,IN,1729727844
269,hamilton,39.1834,-84.5333,21.32,42,61,4.02,US,1729727680
270,sovetskiy,61.3614,63.5842,5.38,95,100,2.26,RU,1729727847
271,ola,59.5833,151.2833,-4.34,47,80,5.35,RU,1729727848
272,otjiwarongo,-20.4637,16.6477,18.0,14,0,3.35,NA,1729727849
273,mogadishu,2.0371,45.3438,25.84,86,9,5.6,SO,1729727850
274,ascencion de guarayos,-15.8963,-63.1881,29.62,51,56,2.21,BO,1729727851
275,newman,37.3138,-121.0208,26.13,33,3,1.79,US,1729727852
276,horta,38.5333,-28.6333,18.9,74,98,4.47,PT,1729727853
277,stephenville,32.2207,-98.2023,29.07,42,0,1.54,US,1729727854
278,yerofey pavlovich,53.9667,121.9667,-6.99,91,98,1.17,RU,1729727856
279,bouna,9.2667,-3.0,24.52,85,81,1.8,CI,1729727857
280,zaysan,47.4667,84.8667,7.43,68,100,4.07,KZ,1729727858
281,contamana,-7.3333,-75.0167,24.41,89,98,0.64,PE,1729727859
282,yuncheng,35.0231,110.9928,13.96,47,0,1.44,CN,1729727860
283,crane,31.3974,-102.3501,28.46,33,2,7.64,US,1729727861
284,beidaihehaibin,39.8222,119.5181,12.42,54,0,1.91,CN,1729727862
285,san patricio,28.017,-97.5169,26.86,67,0,5.06,US,1729727863
286,joal-fadiout,14.1667,-16.8333,27.38,71,49,3.77,SN,1729727864
287,bereznik,62.8551,42.7072,6.55,87,100,3.21,RU,1729727865
288,padang,-0.9492,100.3543,23.03,83,100,1.29,ID,1729727867
289,guatrache,-37.6678,-63.5302,16.63,71,73,1.82,AR,1729727868
290,arrifes,37.7667,-25.7,19.14,77,20,6.69,PT,1729727869
291,gadzhiyevo,69.2551,33.3362,2.03,89,10,3.54,RU,1729727870
292,minas de marcona,-15.2119,-75.1103,14.61,81,9,5.61,PE,1729727871
293,mount isa,-20.7333,139.5,35.87,10,17,6.69,AU,1729727872
294,dmitrovsk-orlovskiy,52.505,35.1464,5.38,92,4,4.88,RU,1729727876
295,temryuk,45.2722,37.3811,11.7,82,12,3.02,RU,1729727877
296,letterkenny,54.95,-7.7333,11.71,77,100,8.65,IE,1729727878
297,joao camara,-5.5375,-35.8197,23.13,77,48,6.34,BR,1729727879
298,concepcion del oro,24.6333,-101.4167,19.93,28,85,2.55,MX,1729727880
299,al ghayzah,16.2079,52.176,27.31,80,100,4.49,YE,1729727881
300,ambon,-3.6954,128.1814,26.08,89,40,2.06,ID,1729727882
301,pacific grove,36.6177,-121.9166,22.42,71,0,2.06,US,1729727649
302,kapuskasing,49.4169,-82.4331,2.05,93,75,2.57,CA,1729727884
303,salaga,8.5508,-0.5188,24.28,88,51,1.99,GH,1729727886
304,bardai,11.65,7.2333,23.77,30,61,2.58,NG,1729727887
305,saint-pierre,-21.3393,55.4781,20.82,68,0,4.12,RE,1729727888
306,san nicolas de bari,22.7844,-81.9133,24.14,88,24,3.86,CU,1729727889
307,baiyin,36.5583,104.2081,9.1,59,0,0.95,CN,1729727891
308,gonen,40.1049,27.654,15.01,65,25,2.59,TR,1729727892
309,igarka,67.4667,86.5833,-15.1,96,98,4.21,RU,1729727815
310,bamboo flat,11.7,92.7167,26.05,100,75,0.0,IN,1729727895
311,happy valley-goose bay,53.3168,-60.3315,16.17,67,75,8.23,CA,1729727896
312,okhotsk,59.3833,143.3,-5.13,80,100,4.14,RU,1729727897
313,tucurui,-3.7661,-49.6725,30.56,45,92,1.55,BR,1729727898
314,eraan,9.0629,117.7016,26.32,92,100,6.57,PH,1729727899
315,aykhal,66.0,111.5,-16.41,99,98,1.05,RU,1729727900
316,nykvarn,59.8,18.3,8.99,87,66,4.19,SE,1729727901
